ANO_ELEICAO,NR_ZONA,BAIRRO,SQ_CANDIDATO,NM_CANDIDATO,NM_PARTIDO,QT_VOTOS_NOMINAIS,DS_SIT_TOT_TURNO,ENDEREÇO,total_votos,proporcao
2016,180,TAQUARA,190000003828,ANTONIO JOSE PAPERA DE AZEVEDO,Partido Trabalhista Brasileiro,23,ELEITO POR QP,"RUA GODOFREDO VIANA, 400",15802,0.0014555119605113276
2016,119,BARRA DA TIJUCA,190000003828,ANTONIO JOSE PAPERA DE AZEVEDO,Partido Trabalhista Brasileiro,13,ELEITO POR QP,AV. AYRTON SENNA 2001 BLOCO C,15802,8.226806733324896e-4
2016,204,SAUDE,190000003672,JAIR BARBOSA TAVARES,Partido Humanista da Solidariedade,6,ELEITO POR MÉDIA,"RUA SACADURA CABRAL, 226,",7279,8.242890506937766e-4
2016,218,CASCADURA,190000005652,CELIO CESAR LUPPARELLI FARIA,Democratas,67,ELEITO POR MÉDIA,"RUA SIDÔNIO PAIS, 54, LOJAS 4 E 5",5717,0.011719433269197131
2016,5,COPACABANA,190000024871,ELISEU GOMES KESSLER,Partido Social Democrático,61,ELEITO POR MÉDIA,"RUA MIGUEL LEMOS, 97",7903,0.007718587878021005
2016,238,JARDIM SULACAP,190000024871,ELISEU GOMES KESSLER,Partido Social Democrático,179,ELEITO POR MÉDIA,"AVENIDA MARECHAL FONTENELLE, 3545",7903,0.02264962672402885
2016,185,TAQUARA,190000024871,ELISEU GOMES KESSLER,Partido Social Democrático,52,ELEITO POR MÉDIA,RUA GODOFREDO VIANA 400,7903,0.006579779830444135
2016,230,JARDIM SULACAP,190000024871,ELISEU GOMES KESSLER,Partido Social Democrático,135,ELEITO POR MÉDIA,"AV. MARECHAL FONTENELE, 3545, PARQUE SHOPPING SULACAP, TÉRREO",7903,0.017082120713653042
2016,204,SAUDE,190000007958,FERNANDO WILLIAM FERREIRA,Partido Democrático Trabalhista,53,ELEITO POR MÉDIA,"RUA SACADURA CABRAL, 226,",7565,0.007005948446794448
2016,125,SANTA CRUZ,190000007958,FERNANDO WILLIAM FERREIRA,Partido Democrático Trabalhista,60,ELEITO POR MÉDIA,RUA MARTINHO DE CAMPOS S/N POSTO AGRICOLA,7565,0.007931262392597489
2016,233,JARDIM SULACAP,190000011325,ADALMIR D AGUILA DE SOUZA,Partido da Social Democracia Brasileira,17,ELEITO POR MÉDIA,"AV. MARECHAL FONTENELE, 3.545",7078,0.0024018084204577564
2016,9,BARRA DA TIJUCA,190000011325,ADALMIR D AGUILA DE SOUZA,Partido da Social Democracia Brasileira,44,ELEITO POR MÉDIA,AV AYRTON SENNA 2001 BLOCO C,7078,0.006216445323537723
2016,9,BARRA DA TIJUCA,190000010039,PAULO SANTOS MESSINA,Partido Republicano da Ordem Social,212,ELEITO POR MÉDIA,AV AYRTON SENNA 2001 BLOCO C,9590,0.022106360792492178
2016,24,JARDIM SULACAP,190000012841,JOÃO RICARDO RIBAS JUNIOR,Partido do Movimento Democrático Brasileiro,61,ELEITO POR MÉDIA,"AVENIDA MARECHAL FONTENELLE, 3.545, TÉRREO - SHOPPING SULACAP",10081,0.006050987005257415
2016,219,CASCADURA,190000012841,JOÃO RICARDO RIBAS JUNIOR,Partido do Movimento Democrático Brasileiro,83,ELEITO POR MÉDIA,"RUA SIDÔNIO PAES, 54 LOJA 06",10081,0.0082333101874814
2016,22,IRAJÁ,190000012843,VERÔNICA CHAVES DE CARVALHO COSTA,Partido do Movimento Democrático Brasileiro,205,ELEITO POR MÉDIA,"RUA ITAPERA, 500, SHOPPING VIA BRASIL, LOJAS 150 E 151",12852,0.015950824774354187
2016,242,CAMPO GRANDE,190000010725,ADEJAIR SANCHES DE AGUIAR,Partido da Mobilização Nacional,1,ELEITO POR MÉDIA,AV. CESARIO DE MELLO 3963,6842,1.4615609470914936e-4
2016,123,DEODORO,190000010725,ADEJAIR SANCHES DE AGUIAR,Partido da Mobilização Nacional,32,ELEITO POR MÉDIA,RUA FERNÃO DIAS S/N,6842,0.00467699503069278
2016,14,TODOS OS SANTOS,190000010725,ADEJAIR SANCHES DE AGUIAR,Partido da Mobilização Nacional,27,ELEITO POR MÉDIA,"RUA GETULIO, 127",6842,0.003946214557147033
2016,241,SANTA CRUZ,190000010725,ADEJAIR SANCHES DE AGUIAR,Partido da Mobilização Nacional,2,ELEITO POR MÉDIA,RUA MARTINHO DE CAMPOS S/N POSTO AGRICOLA,6842,2.9231218941829873e-4
2016,242,CAMPO GRANDE,190000003862,ROGERIO DE CASTRO LOPES,Partido Trabalhista Brasileiro,1125,ELEITO POR MÉDIA,AV. CESARIO DE MELLO 3963,13803,0.08150402086502934
2016,179,BARRA DA TIJUCA,190000003414,MARIELLE FRANCISCO DA SILVA,Partido Socialismo e Liberdade,731,ELEITO POR QP,AV. AYRTON SENNA 2001 BLOCO C BARRA DA TIJUCA,25600,0.0285546875
2016,233,JARDIM SULACAP,190000003423,RENATO ATHAYDE SILVA,Partido Socialismo e Liberdade,81,ELEITO POR QP,"AV. MARECHAL FONTENELE, 3.545",9448,0.00857324301439458
2016,179,BARRA DA TIJUCA,190000003426,TARCÍSIO MOTTA DE CARVALHO,Partido Socialismo e Liberdade,1987,ELEITO POR QP,AV. AYRTON SENNA 2001 BLOCO C BARRA DA TIJUCA,48973,0.04057337716701039
2016,180,TAQUARA,190000003414,MARIELLE FRANCISCO DA SILVA,Partido Socialismo e Liberdade,682,ELEITO POR QP,"RUA GODOFREDO VIANA, 400",25600,0.026640625
2016,182,TAQUARA,190000003420,PAULO PINHEIRO,Partido Socialismo e Liberdade,109,ELEITO POR QP,"RUA GODOFREDO VIANA, 400",6821,0.015980061574549186
2016,182,TAQUARA,190000003426,TARCÍSIO MOTTA DE CARVALHO,Partido Socialismo e Liberdade,1519,ELEITO POR QP,"RUA GODOFREDO VIANA, 400",48973,0.031017091050170503
2016,8,DEL CASTILHO,190000003414,MARIELLE FRANCISCO DA SILVA,Partido Socialismo e Liberdade,286,ELEITO POR QP,"AVENIDA DOM HÉLDER CÂMARA, 4175",25600,0.011171875
2016,191,ILHA DO GOVERNADOR,190000003423,RENATO ATHAYDE SILVA,Partido Socialismo e Liberdade,223,ELEITO POR QP,"ESTRADA DA CACUIA, 1574",9448,0.023602878916172736
2016,23,MARECHAL HERMES,190000003420,PAULO PINHEIRO,Partido Socialismo e Liberdade,29,ELEITO POR QP,RUA JOAO VICENTE 1545,6821,0.004251576015247031
2016,161,OLARIA,190000003420,PAULO PINHEIRO,Partido Socialismo e Liberdade,131,ELEITO POR QP,"RUA LUCENA, S/N,OLARIA (ANTIGO FÓRUM,ATRÁS DO CLUBE OLARIA) 21.021-320",6821,0.019205395103357278
2016,245,CAMPO GRANDE,190000003426,TARCÍSIO MOTTA DE CARVALHO,Partido Socialismo e Liberdade,497,ELEITO POR QP,"RUA DOM PEDRITO, 1, 2 ANDAR - XVIII ADMINISTRAÇÃO REGIONAL",48973,0.010148449145447491
2016,234,JARDIM SULACAP,190000006061,ITALO PEREIRA CAMPOS,Partido Trabalhista do Brasil,508,ELEITO POR QP,"AV. MARECHAL FONTENELLE, 3.545, TÉRREO - PARQUE SHOPPING SULACAP",1209,0.42018196856906537
2016,7,TIJUCA,190000012012,CARLOS EDUARDO DE MATTOS,Solidariedade,288,ELEITO POR QP,RUA ANTONIO BASILIO 76,13347,0.02157788267026298
2016,16,LARANJEIRAS,190000015120,REIMONT LUIZ OTONI SANTA BARBARA,Partido dos Trabalhadores,590,ELEITO POR QP,RUA CONDE DE BAEPENDI N 40,10499,0.05619582817411182
2016,10,PIEDADE,190000015120,REIMONT LUIZ OTONI SANTA BARBARA,Partido dos Trabalhadores,118,ELEITO POR QP,"RUA ASSIS CARNEIRO, 436",10499,0.011239165634822364
