Zona,Bairro
55,"JARDIMATLÂNTICO"
55,"ITAOCAIAVALLEY"
55,"PONTAGROSSA"
55,"MARQUÊSDE MARICÁ"
55,MUMBUCA
55,BARROCO
55,"CASSOROTIBA"
56,"FIM DOPONTO"
56,CENTRO
56,MORSING
56,"HUMBERTOANTUNES"
56,"MARTINSCOSTA"
56,"CINCOLAGOS"
56,"VILAMARIANA"
57,CENTRO
57,"PORTÃO DEFERRO II"
57,"PORTÃO DEFERRO III"
57,"PARQUE DAMANGUEIRA"
57,"PONTEBRANCA"
57,GRAÚNA
57,CORISCO
57,"PRAIAGRANDE"
57,PENHA
57,"CENTROHISTÓRICO"
57,CAMPINHO
57,MAMANGUÁ
57,"PARATY-MIRIM"
57,"PATRIMÔNIO"
57,TRINDADE
57,"MAMBUCABA"
57,TARITUBA
57,TAQUARI
57,FÁTIMA
57,"ILHA DASCOBRAS"
57,"BARRAGRANDE"
57,"LARANJEIRAS"
57,CAJAÍBA
57,"PARQUEIMPERIAL"
57,PANTANAL
57,SÃO ROQUE
57,PATITIBA
57,"VILA DOMPEDRO"
57,"PONTAGROSSA"
59,"BAIXOGRANDE"
59,"CAMPOREDONDO"
59,SÃO JOÃO
59,"PONTA DOAMBRÓSIO"
59,"PORTO DAALDEIA"
59,"PORTO DOCARRO"
59,"NOVA SÃOPEDRO"
59,ESTAÇÃO
59,SÃO JOSÉ
59,CENTRO
59,BOQUEIRÃO
59,"POÇOFUNDO"
59,ALECRIM
59,"TRÊSVENDAS"
59,"JARDIMSOLEDADE"
59,CRUZ
59,"BALNEÁRIOSÃO PEDRO"
59,"RUA DOFOGO"
59,RETIRO
59,"PARQUEARRUDA"
59,BALEIA
59,PRAIA LINDA
59,VINHATEIRO
59,"SÃOMATEUS"
59,"SAPEATIBAMIRIM"
59,BOTAFOGO
59,"BALNEÁRIODASCONCHAS"
59,"RECANTODO SOL"
59,MOSSORÓ
60,CENTRO
60,"VALAO DOBARRO"
60,IPITUNA
60,"ZONARURAL -TERCEIRODISTRITO"
60,"GUARANI-ZONARURAL-3oDISTRITO"
60,"ZONARURAL -SEGUNDODISTRITO"
60,IBIPEBA
60,"MINGUTA -ZONARURAL - 2oDISTRITO"
60,"RIBEIRÃOSANTÍSSIMO"
60,TRIUNFO
60,"AGULHADOS LEAIS"
60,"SANTOANTÔNIODO IMBÉ"
60,ALTO IMBÉ
60,"MANOEL DEMORAES"
60,"RENASCENÇA"
60,SOSSÊGO
60,"OSÓRIOBERSOT"
60,"PARQUEITAPORANGA"
60,BRINCO
60,"VILASAMPAIO"
61,"SAPUCAIA 1oDISTRITO"
61,"ANTA 2oDISTRITO"
61,"APARECIDA3o DISTRITO"
61,"JAMAPARÁ4o DISTRITO"
61,"PIÃO 5oDISTRITO"
62,BACAXÁ
62,BICUIBA
62,"BONSUCESSO"
62,"MADRESSILVA"
62,RIO MOLE
62,"RIO DEAREIA"
62,PALMITAL
62,ALVORADA
62,CENTRO
62,"SAMPAIOCORREA"
62,JACONÉ
62,"JARDIMIPITANGAS"
62,BOQUEIRÃO
62,"ÁGUABRANCA"
62,MOMBAÇA
62,"BARRANOVA"
62,VILATUR
62,"PORTO DAROÇA"
62,GRAVATÁ
62,ITAÚNA
62,"BAIRROJARDIM"
63,CENTRO
63,BOQUEIRÃO
63,"CESÁRIOALVIM"
63,IMBAÚ
63,"ALDEIAVELHA"
63,GAVIÕES
63,"BANANEIRAS"
63,CAJU
63,CAXITO
63,"CIDADENOVA"
64,CENTRO
64,BENFICA
64,CAMPINAS
64,"CAMPOLEAL"
64,"DONAMARIANA"
64,MURINELI
64,"SANTOANDRÉ"
64,"SOLEDADEII"
64,SOLEDADE I
64,DUAS IRMÃS
64,ASA NORTE
64,"VENDA DAPONTE"
64,"VALE DOSPINHEIROS"
64,"SÃOLOURENÇO"
65,CENTRO
65,RETIRO
65,ITAMARATI
65,"CASCATINHA"
65,"ESTRADADASAUDADE"
65,"CARANGOLA"
65,CORREAS
65,NOGUEIRA
65,ROSEIRAL
65,"JARDIMSALVADOR"
65,"QUARTEIRAOBRASILEIRO"
65,SAMAMBAIA
65,ARARAS
65,"PEDRO DORIO"
65,POSSE
65,ITAIPAVA
65,CUIABA
65,MALTA
68,ZE GAROTO
68,"PATRONATO"
68,"BRASILÂNDIA"
68,"PORTONOVO"
68,GRADIM
68,PARAISO
68,"PORTOVELHO"
68,"PORTO DAMADAMA"
69,COELHO
69,"MARIAPAULA"
69,ARSENAL
69,"RIO DOOURO"
69,ALMERINDA
69,TRIBOBO
69,"JOCKEYCLUB"
69,IPIIBA
69,"ANAIAPEQUENO"
69,COLUBANDE
69,"ENGENHODO ROCADO"
70,CENTRO
70,CASCATA
70,LAGES
70,BNH
70,RAMALHO
71,"SANTAROSA"
71,ICARAÍ
71,"VITALBRASIL"
71,CENTRO
71,"SÃODOMINGOS"
71,INGÁ
71,"ILHA DACONCEIÇÃO"
71,"PONTAD'AREIA"
71,FÁTIMA
72,CARAMUJO
72,BADU
72,"LARGO DABATALHA"
72,"SANTABARBARA"
72,ITITIOCA
72,CANTAGALO
72,SAPÊ
72,"SÃOFRANCISCO"
72,ICARAÍ
72,JURUJUBA
74,CENTRO
74,"SACRAFAMILIA DOTINGUA"
74,"MORROAZUL"
74,"PALMEIRADA SERRA"
74,PALMAS
74,AGUADA
74,GRAMINHA
75,"GOITACAZES"
75,"MARTINSLAGE"
75,"FAZENDINHA"
75,MINEIROS
75,"CAMPOLIMPO"
75,DONANA
75,"SANTOAMARO 3DISTRITO"
75,"SAOMARTINHO"
75,"CORRENTEZA"
75,CABOIO
75,"BAIXAGRANDE"
75,RETIRO
75,MARCELO
75,"ALTO DAAREIA"
75,"FAROL DESAO TOME"
75,BOA VISTA
75,"PONTO DECOQUEIROS"
75,"SAOSEBASTIAO"
75,"SATURNINOBRAGA"
75,ESPINHO
75,"POCOGORDO"
75,"VENDANOVA"
75,"CAMPONOVO"
75,"BEIRA DOTAI"
75,"B. DOJACARE"
75,"ALTO DOELIZEU"
75,"MUSSUREPE"
75,SAO BENTO
75,BABOSA
75,MARRECAS
75,"LARGO DOGARCIA"
75,"RIO DOCOLEGIO"
75,"COQUEIRODE TOCOS"
75,TOCOS
75,"PONTAGROSSA"
75,GOIABA
75,IPS
75,"PARQUEBELA VISTA"
75,"PARQUEPENHA"
75,CENTRO
75,"PARQUETURF CLUB"
75,"PARQUEAURORA"
75,"PARQUETROPICAL"
75,"PARQUEROSÁRIO"
75,"NOVOJOCKEY"
76,"JARDIMCARIOCA"
76,"PARQUEELDORADO"
76,"PARQUENOVOMUNDO"
76,"PARQUESANTAROSA"
76,"CUSTODOPOLIS"
76,"PARQUESAO JORGE"
76,"PARQUEPRAZERES"
76,"PARQUEALVORADA"
76,"CALABOUCO"
76,"PARQUECALABOUCO"
76,"PARQUECODIN"
76,"KM 13 7oDISTRITO"
76,"MORRO DOCOCO 12DISTRITO"
76,"JARDIMAEROPORTO"
76,"TRAVESSÃO7 DISTRITO"
76,"SANTAMARIA 18DISTRITO"
76,"KM 08 - 7oDISTRITO"
76,"PALMARES18oDISTRITO"
76,"PARQUESANTA ANA"
76,"CHAVE DEPARAISO 20DISTRITO"
76,"SÃO LUIZ DEMUTUCA 12oDISTRITO"
76,"VILA NOVA20 DISTRITO"
76,"SANTABÁRBARA18oDISTRITO"
76,"ESPIRITOSANTINHO13oDISTRITO"
76,"SANTOEDUARDO13 DISTRITO"
76,"BREJOGRANDE 7oDISTRITO"
76,"AREIABRANCA 12oDISTRITO"
76,"MURUNDU13oDISTRITO"
76,"SESMARIA12oDISTRITO"
76,"BALANÇARANGEL 7oDISTRITO"
76,"GUANDU 7oDISTRITO"
76,"MATA DACRUZ 18oDISTRITO"
76,"RIBEIRO DOAMARO 7oDISTRITO"
76,"PARQUENOVACANAÃ 7oDISTRITO"
76,"CONSELHEIRO JOSINO20 DISTRITO"
78,"COPACABANA"
78,"DOUTORLAUREANO"
78,CAROLINA
78,"JARDIMGRAMACHO"
78,SARAPUÍ
78,"VILA SÃOLUIS"
78,"JARDIMOLAVOBILAC"
78,GRAMACHO
78,"JARDIMLEAL"
78,BANANAL
79,"CIDADE DOSMENINOS"
79,PILAR
79,SÃO BENTO
79,"PARQUEFLUMINENSE"
79,PANTANAL
79,"PARQUEMUISA"
79,AMAPÁ
79,"PARQUECOMERCIAL"
79,"VILAROSARIO"
83,"SANTOELIAS"
83,"BANCO DEAREIA"
83,"COSMORAMA"
83,VILA EMIL
83,"ROCHASOBRINHO"
83,"PARQUESENADOR"
83,CENTRO
83,JACUTINGA
83,"PRESIDENTEJUSCELINO"
84,CABUÇU
84,"JARDIMGUANDU"
84,"PRADOSVERDES"
84,MARAPICU
84,BOM JESUS
84,"KM 32 -CEDAE"
84,"JARDIMALVORADA"
84,KM 32
84,PALHADA
84,LAGOINHA
84,ALIANÇA
84,VALVERDE
84,"JARDIMPALMARES"
84,"TODOS OSSANTOS"
84,"PARQUESAOFRANCISCO"
84,"JARDIMLARANJEIRAS"
84,PARAISO
84,MANGUEIRA
84,"JARDIMNOVA ERA"
84,"CAMPOALEGRE"
87,"BARROVERMELHO"
87,VILA LAGE
87,"ENGENHOPEQUENO"
87,"LINDOPARQUE"
87,"PONTEPARAGUAI"
87,"SANTACATARINA"
87,ZE GAROTO
87,"VENDA DACRUZ"
87,NOVA ROMA
87,PAIVA
87,NEVES
87,COVANCA
88,TOMAZINHO
88,"SÃOMATEUS"
88,VILA UNIAO
88,EDEN
88,VILA NORMA
89,"VILAR DOSTELES"
89,"VILA SÃOJOÃO"
89,"JARDIMMERITI"
89,"JARDIMSANTAROSA"
89,JARDIM ÍRIS
89,"VILAANDORINHAS"
90,"AEROCLUBE"
90,VOLDAC
90,"VILABRASÍLIA"
90,NITERÓI
90,SÃO LUÍS
90,VILA MURY
90,RETIRO
90,"SANTA RITADO ZARUR"
90,DOM BOSCO
90,COQUEIROS
90,"SANTACRUZ"
90,"SÃOSEBASTIÃO"
90,"VERDEVALE"
90,"CANDELÁRIA"
90,"JARDIMBELMONTE"
90,BELMONTE
90,ACUDE II
90,"SIDERLANDIA"
90,"SANTA RITADE CASSIA"
90,ACUDE
90,"PADREJOSIMO"
91,ANO BOM
91,"VILAORLANDÉLIA"
91,"SÃOFRANCISCODE ASSIS"
91,"GETÚLIOVARGAS"
91,"VILACORINGA"
91,"ANTÔNIOROCHA"
91,"VISTAALEGRE"
91,"LOTEAMENTO SOFIA"
91,VILA NOVA
91,FLORIANO
91,RIALTO
91,"LOTEAMENTO BELOHORIZONTE"
91,"SANTACLARA"
91,AMPARO
91,SÃO PEDRO
91,"ESTAMPARIA"
91,"VILAPRINCIPAL"
91,PARAÍSO
91,"BOA VISTAIII"
91,"VILABARBARÁ"
91,"ROSELÂNDIA"
91,"NOVE DEABRIL"
91,CAJUEIRO
91,BOA VISTA II
91,PITEIRAS
91,BOA SORTE
91,SÃO LUIZ
91,"NOVAESPERANÇA"
92,PRAIA SECA
92,"BANANEIRAS"
92,"PARQUEMATARUNA"
92,VILA CAPRI
92,CENTRO
92,"XV DENOVEMBRO"
92,"FAZENDINHA"
92,"PONTE DOSLEITES"
92,BOA PERNA
92,ITATIQUARA
92,"EDUCANDÁRIO"
92,PARATY
92,BOA VISTA
92,IGUABINHA
92,REGAMÉ
92,HOSPÍCIO
92,"ENGENHOGRANDE"
92,"ENGENHONOVO"
92,PRODÍGIO
92,"MORROGRANDE"
92,AURORA
92,PARACATU
92,"SÃOVICENTE"
92,"SOBRADINHO"
92,"JUTURNAÍBA"
92,MONTEIRO
92,POSSE
92,MUTIRÃO
92,SOUBARA
92,"CLUBE DOSENGENHEIROS"
92,"TRÊSVENDAS"
92,OUTEIRO
93,CENTRO
93,"MATADOURO"
93,SANTANA
93,CALIFÓRNIA
93,"PONTEVERMELHA"
93,IPIABAS
93,DORÂNDIA
93,ROSEIRA
93,"SÃO JOSÉDO TURVO"
93,"VARGEMALEGRE"
93,"OFICINASVELHAS"
93,"SANTANADE BARRA"
93,"PARQUESANTANA"
93,"BOCA DOMATO"
93,CARVAO
93,QUIMICA
93,"MORRO DOGAMA"
93,AREAL
93,MARACANA
93,"ARTHURCATALDI"
93,"PARQUESAOJOAQUIM"
93,CANTAO
93,BELVEDERE
94,CENTRO
94,"ROBERTOSILVEIRA"
94,BOCAININHA
94,SAUDADE
94,"COLÔNIASANTOANTÔNIO"
94,"JARDIMAMÉRICA"
94,"MONTECRISTO"
94,COTIARA
94,"SÃOSILVESTRE"
94,"VILAINDEPENDÊNCIA"
94,"BOMPASTOR"
94,VILA MARIA
94,"VILAURSULINO"
94,KM - 4
94,"SÃOVICENTE"
95,CENTRO
95,"BAIRRONOVO"
95,"CALHEIROS2 DIST"
95,"ROSAL - 3DIST"
95,"SERRINHA -6 DIST"
95,"CARABUÇU -4 DIST"
95,"PIRAPETINGA - 5 DIST"
95,"MUTUM DECIMA - 4DIST"
95,"BARRA DOPIRAP. - 7DIST"
95,"BOMJARDIM - 1DIST"
95,"USINA STAISABEL - 1DIST"
95,"ARRAIALNOVO - 2DIST"
95,"ASABRANCA"
95,"PIMENTELMARQUES"
95,"SANTAROSA"
95,"SANTATERESINHA"
95,"USINA STAMARIA - 8DIST"
95,LIA MÁRCIA
96,CENTRO
96,PASSAGEM
96,MARLIM
96,PORTINHO
96,"JARDIMFLAMBOYANT"
96,"PARQUEBURLE"
96,"PRAIA DOSIQUEIRA"
96,"JARDIMCAIÇARA"
96,VILA NOVA
96,BRAGA
96,"SÃOCRISTÓVÃO"
96,"CÉLULAMÁTER"
96,"MANOELCORRÊA"
96,GUARANI
97,CENTRO
97,"MONTEVERDE"
97,"SÃO JOÃODO PARAÍSO"
97,FUNIL
97,"TRESIRMAOS"
97,CRUZEIRO
98,CENTRO
98,CAJU
98,"PARQUESAOCAETANO"
98,"PARQUENOVABRASÍLIA"
98,"PARQUEESPLANADA"
98,"PARQUELEOPOLDINA"
98,"PARQUETAMANDARÉ"
98,PECUÁRIA
98,"PARQUERODOVIÁRIO"
98,"PARQUEJULIÃONOGUEIRA"
98,LAPA
98,"PARQUEJOQUEICLUB"
98,HORTO
98,TURF CLUB
98,"PQCALIFORNIA"
101,CENTRO
101,TRIÂNGULO
101,CANTELMO
101,"SANTOANTÔNIO"
101,"SANTA RITADAFLORESTA"
101,"EUCLIDELÂNDIA"
101,"SÃOSEBASTIÃODO PARAÍBA"
101,BOA SORTE
101,SÃO JOSÉ
102,CENTRO
102,"ILHA DOSPOMBOS"
102,"BARRA DESÃOFRANCISCO"
102,INFLUÊNCIA
102,"CÓRREGODO PRATA"
102,"PORTOVELHO DOCUNHA"
102,"LOTEAMENTOVALPARAÍSO"
102,"PROGRESSO"
102,"MORRO DOESTADO"
103,CENTRO
103,"PARQUESENHOR DOBONFIM"
103,"PARQUELAGUNA EDOURADOS"
103,"BAR DOSCAVALEIROS"
103,"PARQUELAFAIETE"
103,PRAINHA
103,"ENGENHODO PORTO"
103,COVANCA
103,PERIQUITOS
103,"CORTEOITO"
103,"CENTENÁRIO"
104,RIO VÁRZEA
104,QUISSAMÃ
104,CENTRO
104,"OUTEIRODASPEDRAS"
104,"NOVACIDADE"
104,RETA NOVA
104,"VENDA DASPEDRAS"
104,AREAL
104,"PORTO DASCAIXAS"
104,"VISCONDEDEITABORAÍ"
104,PICO
104,"SÃOJOAQUIM"
104,AMPLIAÇÃO
104,"JOAQUIM DEOLIVEIRA"
104,"NANCILÂNDIA"
105,CENTRO
105,"MONTESERRAT"
105,SANTANA
105,"VISTAALEGRE"
105,"PARQUEPARAISO"
105,"JARDIMAMÉRICA"
105,ENGENHO
105,"AMENDOEIRA"
105,CHAPERÓ
105,MAZOMBA
105,"MAZOMBINHA"
105,PIRANEMA
105,"SANTACÂNDIDA"
105,"VILAMARGARIDA"
105,INOUE
105,"IBITUPORANGA"
105,"COROAGRANDE"
105,"ILHA DAMADEIRA"
105,"SACO DAPRATA"
105,BRISA MAR
105,VILA GENI
105,TEIXEIRAS
105,LEANDRO
105,"ESTRELADO CÉU"
105,"IBIRAPITANGA"
106,CAXIAS
106,CENTRO
106,BATATAL
106,LARANJAIS
106,PORTELA
106,"JAGUAREMBÉ"
